date,instrument,ticker,open,close,high,low,vah,val,poc,volume,session_start_local,session_end_local
2026-06-01,MES,MES=F,7583.0,7615.75,7632.75,7576.0,7632.75,7576.0,7591.25,828697,09:30,16:00
2026-06-02,MES,MES=F,7598.25,7627.0,7632.0,7595.5,7632.0,7595.5,7601.25,614825,09:30,16:00
2026-06-03,MES,MES=F,7608.5,7567.25,7614.75,7562.5,7614.75,7562.5,7586.25,876745,09:30,16:00
2026-06-04,MES,MES=F,7548.5,7594.0,7611.5,7541.75,7611.5,7541.75,7548.0,697933,09:30,16:00
2026-06-05,MES,MES=F,7548.0,7368.25,7552.75,7364.25,7552.75,7364.25,7525.25,1668664,09:30,16:00
2026-06-08,MES,MES=F,7457.25,7413.25,7476.75,7403.75,7476.75,7403.75,7450.25,1196704,09:30,16:00
2026-06-09,MES,MES=F,7458.75,7385.5,7491.0,7247.0,7491.0,7247.0,7399.0,1970626,09:30,16:00
2026-06-10,MES,MES=F,7354.75,7271.25,7404.75,7261.0,7404.75,7261.0,7382.25,1431950,09:30,16:00
2026-06-11,MES,MES=F,7307.75,7407.0,7419.75,7263.0,7419.75,7263.0,7317.0,1570396,09:30,16:00
2026-06-12,MES,MES=F,7423.5,7442.5,7461.5,7366.5,7461.5,7366.5,7375.25,1051754,09:30,16:00
2026-06-15,MES,MES=F,7599.25,7628.0,7648.75,7598.25,7648.75,7598.25,7609.75,624039,09:30,16:00
2026-06-16,MES,MES=F,7628.0,7582.25,7636.5,7581.25,7636.5,7581.25,7612.0,960571,09:30,16:00
2026-06-17,MES,MES=F,7595.75,7492.5,7604.25,7472.25,7604.25,7472.25,7546.25,1268114,09:30,16:00
2026-06-18,MES,MES=F,7577.0,7576.75,7581.75,7535.5,7581.75,7535.5,7538.5,836859,09:30,16:00
2026-06-22,MES,MES=F,7573.25,7545.25,7599.25,7527.25,7599.25,7527.25,7541.0,911558,09:30,16:00
2026-06-23,MES,MES=F,7429.5,7438.75,7491.25,7415.0,7491.25,7415.0,7442.5,1129930,09:30,16:00
2026-06-24,MES,MES=F,7447.25,7463.5,7496.5,7404.0,7496.5,7404.0,7452.75,1294151,09:30,16:00
2026-06-25,MES,MES=F,7485.75,7438.25,7490.5,7390.0,7490.5,7390.0,7393.0,1512994,09:30,16:00
2026-06-01,AAPL,AAPL,309.5350036621094,306.32000732421875,310.92999267578125,305.0299987792969,310.92999267578125,305.0299987792969,309.5255126953125,36722740,09:30,16:00
2026-06-02,AAPL,AAPL,307.4599914550781,315.19000244140625,315.45001220703125,306.7200012207031,315.45001220703125,306.7200012207031,315.19000244140625,33076567,09:30,16:00
2026-06-03,AAPL,AAPL,314.17498779296875,310.3800048828125,316.94000244140625,308.8500061035156,316.94000244140625,308.8500061035156,310.3800048828125,38301306,09:30,16:00
2026-06-04,AAPL,AAPL,313.30499267578125,311.1600036621094,313.5400085449219,309.6499938964844,313.5400085449219,309.6499938964844,311.8900146484375,28829520,09:30,16:00
2026-06-05,AAPL,AAPL,312.989990234375,307.3900146484375,315.1700134277344,307.1499938964844,315.1700134277344,307.1499938964844,307.3900146484375,50632855,09:30,16:00
2026-06-08,AAPL,AAPL,308.739013671875,301.57000732421875,317.3999938964844,301.1700134277344,317.3999938964844,301.1700134277344,308.8299865722656,64003663,09:30,16:00
2026-06-09,AAPL,AAPL,300.2749938964844,290.3599853515625,300.7200012207031,287.7799987792969,300.7200012207031,287.7799987792969,297.2699890136719,58634763,09:30,16:00
2026-06-10,AAPL,AAPL,290.7650146484375,291.5,294.7449951171875,287.3800048828125,294.7449951171875,287.3800048828125,289.92498779296875,42651843,09:30,16:00
2026-06-11,AAPL,AAPL,293.7200012207031,295.3599853515625,297.0,289.6000061035156,297.0,289.6000061035156,295.3599853515625,31814827,09:30,16:00
2026-06-12,AAPL,AAPL,296.0799865722656,291.0799865722656,297.1400146484375,289.6199951171875,297.1400146484375,289.6199951171875,292.3949890136719,30509836,09:30,16:00
2026-06-15,AAPL,AAPL,294.1199951171875,296.4200134277344,297.7799987792969,291.70001220703125,297.7799987792969,291.70001220703125,296.4200134277344,45108814,09:30,16:00
2026-06-16,AAPL,AAPL,295.2449951171875,299.25,300.4800109863281,293.9700012207031,300.4800109863281,293.9700012207031,299.25,29559145,09:30,16:00
2026-06-17,AAPL,AAPL,300.8450012207031,295.8800048828125,302.07000732421875,294.3800048828125,302.07000732421875,294.3800048828125,301.25,28949447,09:30,16:00
2026-06-18,AAPL,AAPL,298.44000244140625,297.8900146484375,300.57000732421875,295.6199951171875,300.57000732421875,295.6199951171875,297.69000244140625,53195668,09:30,16:00
2026-06-22,AAPL,AAPL,297.5,296.7900085449219,302.4200134277344,296.7900085449219,302.4200134277344,296.7900085449219,301.5899963378906,30103364,09:30,16:00
2026-06-23,AAPL,AAPL,297.5379943847656,294.2799987792969,301.6400146484375,294.2120056152344,301.6400146484375,294.2120056152344,294.2799987792969,37196282,09:30,16:00
2026-06-24,AAPL,AAPL,295.375,293.260009765625,299.70001220703125,292.94000244140625,299.70001220703125,292.94000244140625,293.260009765625,34185618,09:30,16:00
2026-06-25,AAPL,AAPL,287.510009765625,275.04998779296875,288.79998779296875,273.75,288.79998779296875,273.75,275.04998779296875,89039509,09:30,16:00
2026-06-01,NVDA,NVDA,215.77999877929688,224.4199981689453,224.8699951171875,215.7050018310547,224.8699951171875,215.7050018310547,219.11500549316406,179528798,09:30,16:00
2026-06-02,NVDA,NVDA,227.19000244140625,222.82000732421875,232.27999877929688,221.35000610351562,232.27999877929688,221.35000610351562,226.55999755859375,164857907,09:30,16:00
